Food Item,Energy (kcal),Protein (g),Fat (g),CHO (g),Fiber (g),Sugars (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg)
"Mango, ripe, himsagar",187,0.46,0.54,9.03,1.55,8.06,1.31,15.54,0.29,49.09
"Mango, ripe, kesar",231,0.54,0.57,11.36,2.02,9.0,1.43,15.74,0.43,29.08
"Mango, ripe, neelam",178,0.68,0.55,8.21,1.77,7.94,1.2,11.36,0.36,29.93
"Mango, ripe, paheri",188,0.68,0.58,8.67,1.97,8.48,1.63,15.11,0.51,30.75
"Mango, ripe, totapari",248,0.41,0.49,12.75,1.73,9.24,1.32,13.34,0.28,25.26
Mangosteen,219,0.63,0.24,11.41,1.87,8.91,3.79,4.69,0.28,26.33
Manila tamarind,342,3.56,1.14,13.54,4.4,12.13,1.35,8.51,0.71,55.78
"Musk melon, orange flesh",97,0.42,0.35,4.24,1.51,2.99,14.94,9.8,0.18,22.76
"Musk melon, yellow flesh",116,0.53,0.26,5.4,1.49,2.36,15.78,9.02,0.21,21.32
"Orange, pulp",156,0.7,0.13,7.92,1.29,6.86,1.47,19.52,0.81,42.72
"Palm fruit, tender",101,0.5,0.12,4.92,2.4,0.19,1.25,0.0,0.0,0.25
"Papaya, ripe",100,0.42,0.16,4.61,2.83,4.09,6.68,15.02,0.23,43.09
Peach,168,0.86,0.37,7.82,2.13,6.95,1.15,6.98,0.35,5.49
Pear,157,0.36,0.27,8.09,4.48,7.39,1.64,6.55,0.28,3.31
Phalsa,299,1.66,0.14,15.09,4.54,13.0,1.99,153.0,2.01,5.11
Pineapple,180,0.52,0.16,9.42,3.46,8.56,1.43,10.88,0.28,36.37
Plum,238,0.64,0.4,12.1,2.07,10.13,1.55,7.61,0.25,2.26
"Pomegranate, maroon seeds",229,1.33,0.15,11.58,2.83,10.87,2.13,10.65,0.31,12.69
Pummelo,210,0.68,0.42,10.64,0.8,4.38,1.06,14.03,0.06,48.89
"Raisins, dried, black",1279,2.57,0.34,71.29,3.92,61.51,10.99,73.24,6.81,2.05
"Raisins, dried, golden",1241,2.76,0.35,68.79,4.56,57.12,10.16,51.83,4.26,1.85
Rambutan,306,0.68,0.16,16.84,1.02,15.8,1.75,8.67,0.37,65.0
Sapota,307,0.92,1.26,13.9,9.6,12.3,4.61,17.87,0.49,20.96
Soursop,260,0.74,0.94,11.94,4.95,9.83,6.78,10.05,0.29,59.54
Star fruit,110,0.79,0.39,4.51,2.81,3.95,1.56,4.97,0.45,33.55
Strawberry,103,0.97,0.56,3.4,2.5,3.56,1.19,15.28,0.36,50.2
"Tamarind, pulp",1207,2.92,0.15,67.35,5.31,52.88,24.92,149.0,9.16,3.62
"Water melon, dark green (sugar baby)",85,0.6,0.16,3.86,0.7,3.66,1.89,5.29,0.22,13.26
"Water melon, pale green",70,0.59,0.16,3.02,0.78,3.0,1.62,4.35,0.16,11.45
Wood Apple,327,3.14,3.62,7.52,5.21,3.81,1.48,55.71,0.45,22.17
Zizyphus,204,1.34,0.35,9.4,3.73,8.29,1.52,46.55,0.4,60.93
Beet root,149,1.95,0.14,6.18,3.31,4.35,69.44,17.28,0.76,5.26
"Carrot, orange",139,0.95,0.47,5.55,4.18,3.23,52.33,35.09,0.6,6.22
"Carrot, red",160,1.04,0.47,6.71,4.49,3.96,60.69,41.06,0.71,6.76
Colocasia,372,3.31,0.17,17.85,3.22,0.9,4.54,30.18,0.66,1.83
Lotus root,332,1.94,0.93,14.67,4.7,0.24,20.63,37.71,3.34,26.63
"Potato, brown skin, big",292,1.54,0.23,14.89,1.71,0.32,4.11,9.52,0.57,23.15
"Potato, brown skin, small",255,1.35,0.22,12.9,1.69,0.44,3.97,8.53,0.53,26.41
"Potato, red skin",306,1.83,0.22,15.43,1.68,0.38,4.36,8.62,0.66,25.04
"Radish, elongate, red skin",134,0.67,0.13,6.71,2.46,1.15,24.73,28.44,0.37,17.63
"Radish, elongate, white skin",135,0.77,0.15,6.56,2.65,0.95,28.2,30.2,0.36,19.91
"Radish, round, red skin",130,0.89,0.16,6.07,2.29,0.86,32.27,35.76,0.42,15.69
"Radish, round, white skin",129,0.8,0.14,6.13,2.37,1.16,24.14,34.23,0.41,14.0
"Sweet potato, brown skin",456,1.33,0.26,24.25,3.99,3.63,29.6,27.5,0.35,17.94
"Sweet potato, pink skin",452,1.27,0.33,23.93,3.94,4.03,29.04,28.93,0.51,22.2
Tapioca,334,1.03,0.2,17.81,4.61,2.14,10.86,25.89,0.81,15.51
Water Chestnut,400,0.86,0.37,21.46,3.02,1.95,13.08,37.15,0.77,5.26
"Yam, elephant",353,2.56,0.14,17.46,4.17,1.58,14.33,46.91,1.22,15.22
"Yam, ordinary",349,2.18,0.17,17.65,4.08,1.15,15.28,16.19,0.77,13.88
"Yam, wild",430,3.07,0.3,20.95,4.57,1.54,12.8,44.13,1.04,14.06
"Chillies, green-1",191,2.62,0.73,6.32,4.86,0.71,3.32,24.1,1.46,79.5
"Chillies, green-2",167,2.28,0.75,5.27,5.13,1.05,2.47,16.86,1.24,90.97
"Chillies, green-3",169,2.38,0.75,5.23,5.1,0.54,2.56,18.04,1.25,93.63
"Chillies, green-4",190,2.33,0.74,6.63,4.15,0.62,1.94,15.87,1.08,102.0
"Chillies, green-5",180,2.01,0.65,6.64,3.95,0.46,2.19,15.31,0.93,97.77
"Chillies, green-6",175,3.01,0.64,5.31,5.15,0.59,2.43,24.82,0.75,108.0
"Chillies, green-7",163,2.12,0.6,5.61,4.95,0.73,2.0,16.85,1.23,112.0
"Chillies, green - all varieties",177,2.36,0.72,5.86,4.77,0.67,2.5,18.45,1.2,94.07
Coriander leaves,130,3.52,0.7,1.93,4.66,0.17,37.0,146.0,5.3,23.87
Curry leaves,266,7.41,1.06,4.51,16.83,0.6,18.66,659.0,8.67,6.04
"Garlic, big clove",518,6.92,0.16,21.93,5.22,5.97,9.42,20.08,1.05,12.62
"Garlic, small clove",514,6.75,0.14,21.84,5.47,4.84,10.56,17.63,0.88,13.57
"Garlic, single clove, Kashmir",523,6.12,0.16,23.46,4.01,3.73,8.87,19.0,1.01,15.38
"Ginger, fresh",230,2.22,0.85,8.97,5.36,1.31,10.03,18.88,1.9,5.43
Mango ginger,177,1.45,0.7,6.98,4.74,2.42,5.51,13.74,2.31,1.62
Mint leaves,155,4.66,0.65,2.39,5.89,0.08,16.87,205.0,8.56,17.16
"Onion, big",201,1.5,0.24,9.56,2.45,5.88,5.5,21.03,0.43,6.69
"Onion, small",237,1.82,0.16,11.58,1.16,5.62,4.06,19.92,0.53,10.96
Asafoetida,1387,6.34,1.26,71.95,5.13,0.93,16.04,266.0,15.68,0.0
"Cardamom, green",1067,8.1,2.6,47.76,23.1,4.28,15.51,378.0,8.33,0.0
"Cardamom, black",1132,6.69,2.8,52.53,23.46,2.3,16.25,312.0,7.94,0.0
"Chillies, red",990,12.69,6.4,29.46,31.15,4.7,19.45,99.83,6.23,0.0
Cloves,781,5.86,8.41,18.73,34.52,2.1,183.0,567.0,9.41,0.0
Coriander seeds,1125,10.66,17.47,12.98,44.81,2.38,34.41,718.0,17.64,0.0
Cumin seeds,1274,13.91,16.64,22.62,30.35,1.38,125.0,878.0,20.58,0.0
Fenugreek seeds,983,25.41,5.72,10.57,47.55,0.55,40.2,135.0,8.47,0.0
