Food Item,Energy (kcal),CHO (g),Protein (g),Fat (g),Sugars (g),Fiber (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cluster,Predicted_Score,Feedback
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,136.95,38.99,0.9,1.16,9.32,1,72.58421980932546,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,138.48,39.6,1.12,0.08,8.85,3,69.25670851526523,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21,3,69.22124143831292,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,105.41,29.72,1.06,1.88,9.25,3,69.25473775049191,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Fruit Loaf,324.19,46.49,5.36,13.31,24.54,0.87,160.6,45.71,0.96,2.47,7.82,3,69.34179250260274,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Banana cake (Kele ka cake),389.51,40.0,5.77,23.31,23.04,1.14,117.81,23.55,1.14,0.98,11.33,3,69.3164534956843,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,188.59,42.15,1.07,0.21,12.0,0,74.123005174327,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,64.84,40.98,1.32,8.51,17.06,3,69.41836665250577,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,107.27,28.17,0.7,8.4,12.8,3,68.95411225427615,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,310.5,212.97,0.61,1.35,7.58,3,69.26095019133685,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,51.9,24.11,1.19,0.0,14.36,3,69.21981850380891,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Pineapple pastry,208.21,29.04,6.06,7.87,18.83,0.72,44.3,42.97,0.86,3.64,17.42,0,74.2309095743031,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,53.43,44.15,0.92,0.91,16.28,0,74.18812354394508,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,46.86,24.04,1.31,0.0,15.88,3,69.4594080504573,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Pineapple cake,195.57,23.51,5.01,9.34,16.16,0.76,37.47,49.06,0.64,27.35,80.64,1,72.61291433747164,Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts.
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,280.44,36.1,1.37,0.16,4.22,3,69.52207904724185,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,278.29,24.76,1.22,0.0,2.62,3,69.3253622906209,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,132.59,42.88,0.92,0.03,1.7,3,69.46230031927867,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,127.02,41.51,1.14,0.03,1.81,3,69.43694430178712,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,105.76,37.81,1.32,0.03,2.51,3,69.78709032632698,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,414.7,37.24,1.05,0.03,1.02,3,69.91749146693257,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,202.26,50.58,1.34,0.03,4.23,3,69.76869201052249,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,131.73,42.7,1.13,0.05,1.72,3,69.49203689346699,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,5.65,25.71,1.23,0.01,1.1,3,69.68947223674631,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,714.52,53.73,1.32,0.15,2.15,3,70.05444597140504,"Limit oily or fried food. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,449.14,18.5,1.04,0.1,1.64,3,69.45023229950365,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Ginger bread man,365.0,60.26,6.61,11.01,29.12,1.6,477.99,37.92,2.12,0.09,4.65,3,69.69656974032112,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Danish cookies,475.33,58.0,5.33,24.92,21.73,1.37,201.06,15.97,0.98,0.0,1.02,3,69.53079060894302,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,145.0,15.92,1.12,0.0,1.62,3,69.68066829331681,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Coffee biscuit,416.57,46.55,6.9,23.0,21.69,1.59,112.53,48.92,1.27,0.03,3.0,3,69.54771681040329,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Melting moments,437.91,55.84,5.71,21.78,25.0,1.88,119.09,30.39,1.2,0.0,3.59,3,69.55769751994015,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,79.68,25.97,2.2,0.0,1.59,3,69.65943714872944,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,78.25,12.16,0.6,0.79,22.43,2,70.59762361865667,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,88.72,29.23,1.04,6.71,57.9,0,74.20445704764442,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,72.05,12.13,0.64,0.0,45.64,2,70.61159969928697,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,6.78,25.2,1.45,0.0,7.57,3,69.30342864344172,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,73.15,13.35,0.67,11.39,64.2,0,73.88942385734039,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,74.88,12.13,0.67,3.8,34.83,2,70.7108737348373,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,142.82,4.99,0.51,0.0,12.8,2,70.68507673584747,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,8.38,30.37,1.77,0.0,48.48,1,73.07556389298787,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,7.15,1.54,2.57,34.24,1.13,0.0,18.38,2,70.67237104318718,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60.0,9.84,18.41,31.12,6.02,5.25,25.2,2.3,0.0,9.07,3,70.35571105922632,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,12.12,1.17,27.77,93.68,1.05,8.57,39.63,1,72.65228421982367,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,24.73,8.16,12.05,53.3,4.36,0.0,27.67,3,71.29051350479622,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Sprouted moong daliya,111.56,14.77,2.81,4.71,1.67,3.12,196.73,22.62,1.29,7.53,35.24,1,73.31936464168437,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Sprouted moong poha,192.6,26.6,5.59,6.89,1.93,3.13,220.82,28.39,2.43,19.24,46.81,1,73.71440624467317,Well-balanced dish 👍.
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,27.44,6.0,12.26,118.74,4.72,0.0,19.1,3,70.82750080362851,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Paushtik ladoo,485.87,60.34,7.65,24.98,38.12,4.57,6.09,20.67,1.63,0.0,16.16,3,69.7216249459276,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Paushtik roti,149.26,26.59,7.17,1.51,2.03,5.74,170.96,52.74,2.62,6.65,42.1,0,75.81326358117737,"Add citrus fruits, amla or bell peppers."
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.21,1.07,73.17,26.47,0.36,0.95,9.36,0,73.85497219240526,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,376.02,123.21,1.39,0.68,39.92,0,75.59966925568862,"Add citrus fruits, amla or bell peppers."
Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,5.14,0.16,0.29,3.19,0.07,0.06,0.82,1,72.41449214556788,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Steeped hot coffee,15.91,3.01,0.39,0.33,2.96,0.0,2.82,10.4,0.06,0.3,1.27,1,72.4374717532774,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Hot chocolate,90.01,9.02,3.43,4.61,8.86,0.0,36.04,113.63,0.33,3.62,13.41,1,72.44271554730828,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cold coffee (with cream),82.76,11.98,1.93,3.29,11.91,0.0,15.35,64.43,0.14,2.56,9.52,1,72.31637835507772,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,9.94,0.27,16.63,68.3,0.14,6.99,20.73,1,72.42316946757218,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Flavoured milkshake,66.78,8.65,2.06,2.83,8.61,0.0,16.34,75.05,0.11,3.62,12.65,1,72.38281928078679,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Jal jeera,30.24,6.7,0.44,0.26,5.71,0.95,215.62,24.72,0.84,2.23,4.47,1,72.67215888056079,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Gingo,48.02,12.42,0.14,0.06,12.08,0.17,21.5,6.33,0.21,8.39,8.49,1,72.33716770693879,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Mintade,40.32,10.59,0.03,0.02,10.47,0.03,26.69,2.1,0.05,8.5,4.69,1,72.31526998239475,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Canjee,6.61,0.44,0.24,0.42,0.21,0.36,43.03,5.82,0.17,0.52,3.61,1,72.55704764399945,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,41.45,6.26,0.22,7.86,9.26,1,72.61006072159631,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,35.99,5.21,0.22,7.72,6.77,1,72.6271735925306,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,65.33,72.96,0.2,4.82,19.51,1,72.5495638984804,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,101.59,21.57,1.1,4.64,15.13,1,73.31928554026547,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,101.8,20.3,0.93,4.64,12.64,1,73.28611154732288,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,101.75,17.57,0.67,4.64,11.94,1,73.08776538462709,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,176.44,45.22,0.82,4.64,15.79,1,73.02257350050128,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,347.02,26.68,1.35,14.42,50.48,1,73.57281052517301,"Add more protein sources like dal, paneer or lentils."
Poha,294.53,35.05,6.09,14.14,0.87,3.72,377.1,37.67,3.01,6.62,11.96,0,75.57546065654677,"Add citrus fruits, amla or bell peppers."
Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,418.02,28.01,1.92,7.21,21.79,1,73.62950107613038,"Add more protein sources like dal, paneer or lentils. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,267.23,39.34,2.22,34.81,79.95,1,73.88721082123568,Well-balanced dish 👍.
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,289.1,151.3,2.41,19.76,116.52,0,75.49838475238045,Well-balanced dish 👍.
